"","MovieID","ratings_per_movie","avg_ratings","Title","Genres","Year","Action","Adventure","Animation","Children.s","Comedy","Crime","Documentary","Drama","Fantasy","Film.Noir","Horror","Musical","Mystery","Romance","Sci.Fi","Thriller","War","Western"
"1",2858,3428,4.31738623103851,"American Beauty (1999)","Comedy|Drama",1999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"2",260,2991,4.45369441658308,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Fantasy|Sci-Fi",1977,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"3",1196,2990,4.29297658862876,"Star Wars: Episode V - The Empire Strikes Back (1980)","Action|Adventure|Drama|Sci-Fi|War",1980,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"4",1210,2883,4.02289281997919,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"5",480,2672,3.76384730538922,"Jurassic Park (1993)","Action|Adventure|Sci-Fi",1993,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6",2028,2653,4.33735393893705,"Saving Private Ryan (1998)","Action|Drama|War",1998,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"7",589,2649,4.05851264628162,"Terminator 2: Judgment Day (1991)","Action|Sci-Fi|Thriller",1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"8",2571,2590,4.31583011583012,"Matrix, The (1999)","Action|Sci-Fi|Thriller",1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"9",1270,2583,3.99032133178475,"Back to the Future (1985)","Comedy|Sci-Fi",1985,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"10",593,2578,4.35182311869666,"Silence of the Lambs, The (1991)","Drama|Thriller",1991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"11",1580,2538,3.73995271867612,"Men in Black (1997)","Action|Adventure|Comedy|Sci-Fi",1997,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",1198,2514,4.47772474144789,"Raiders of the Lost Ark (1981)","Action|Adventure",1981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",608,2513,4.25467568643056,"Fargo (1996)","Crime|Drama|Thriller",1996,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"14",2762,2459,4.40626270841806,"Sixth Sense, The (1999)","Thriller",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"15",110,2443,4.23495702005731,"Braveheart (1995)","Action|Drama|War",1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"16",2396,2369,4.12747994934572,"Shakespeare in Love (1998)","Comedy|Romance",1998,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"17",1197,2318,4.3037100949094,"Princess Bride, The (1987)","Action|Adventure|Comedy|Romance",1987,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"18",527,2304,4.51041666666667,"Schindler's List (1993)","Drama|War",1993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"19",1617,2288,4.21940559440559,"L.A. Confidential (1997)","Crime|Film-Noir|Mystery|Thriller",1997,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"20",1265,2278,3.95302897278314,"Groundhog Day (1993)","Comedy|Romance",1993,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"21",1097,2269,3.96518289995593,"E.T. the Extra-Terrestrial (1982)","Children's|Drama|Fantasy|Sci-Fi",1982,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"22",2628,2250,3.40977777777778,"Star Wars: Episode I - The Phantom Menace (1999)","Action|Adventure|Fantasy|Sci-Fi",1999,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"23",2997,2241,4.12539045069166,"Being John Malkovich (1999)","Comedy",1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",318,2227,4.55455770094297,"Shawshank Redemption, The (1994)","Drama",1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25",858,2223,4.52496626180837,"Godfather, The (1972)","Action|Crime|Drama",1972,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"26",356,2194,4.08796718322698,"Forrest Gump (1994)","Comedy|Romance|War",1994,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"27",2716,2181,3.90554791380101,"Ghostbusters (1984)","Comedy|Horror",1984,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"28",296,2171,4.27821280515891,"Pulp Fiction (1994)","Crime|Drama",1994,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"29",1240,2098,4.15204957102002,"Terminator, The (1984)","Action|Sci-Fi|Thriller",1984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"30",1,2077,4.14684641309581,"Toy Story (1995)","Animation|Children's|Comedy",1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1214,2024,4.15958498023715,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"32",2916,1996,3.68236472945892,"Total Recall (1990)","Action|Adventure|Sci-Fi|Thriller",1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"33",457,1995,4.10325814536341,"Fugitive, The (1993)","Action|Thriller",1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"34",3578,1924,4.10602910602911,"Gladiator (2000)","Action|Drama",2000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"35",1200,1820,4.12582417582418,"Aliens (1986)","Action|Sci-Fi|Thriller|War",1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"36",541,1800,4.27333333333333,"Blade Runner (1982)","Film-Noir|Sci-Fi",1982,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"37",2987,1799,3.67982212340189,"Who Framed Roger Rabbit? (1988)","Adventure|Animation|Film-Noir",1988,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"38",1259,1785,4.096918767507,"Stand by Me (1986)","Adventure|Comedy|Drama",1986,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"39",50,1783,4.5171060011217,"Usual Suspects, The (1995)","Crime|Thriller",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"40",34,1751,3.89149057681325,"Babe (1995)","Children's|Comedy|Drama",1995,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"41",2791,1731,3.97111496244945,"Airplane! (1980)","Comedy",1980,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",780,1730,3.51040462427746,"Independence Day (ID4) (1996)","Action|Sci-Fi|War",1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"43",3175,1728,3.77141203703704,"Galaxy Quest (1999)","Adventure|Comedy|Sci-Fi",1999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
